#RefName	Pos	Coverage
EOG090R00A6|Chlaenius_sericeus	0	4
EOG090R00A6|Chlaenius_sericeus	1	6
EOG090R00A6|Chlaenius_sericeus	2	6
EOG090R00A6|Chlaenius_sericeus	3	6
EOG090R00A6|Chlaenius_sericeus	4	6
EOG090R00A6|Chlaenius_sericeus	5	6
EOG090R00A6|Chlaenius_sericeus	6	6
EOG090R00A6|Chlaenius_sericeus	7	6
EOG090R00A6|Chlaenius_sericeus	8	8
EOG090R00A6|Chlaenius_sericeus	9	8
EOG090R00A6|Chlaenius_sericeus	10	8
EOG090R00A6|Chlaenius_sericeus	11	8
EOG090R00A6|Chlaenius_sericeus	12	11
EOG090R00A6|Chlaenius_sericeus	13	11
EOG090R00A6|Chlaenius_sericeus	14	11
EOG090R00A6|Chlaenius_sericeus	15	11
EOG090R00A6|Chlaenius_sericeus	16	11
EOG090R00A6|Chlaenius_sericeus	17	12
EOG090R00A6|Chlaenius_sericeus	18	16
EOG090R00A6|Chlaenius_sericeus	19	16
EOG090R00A6|Chlaenius_sericeus	20	18
EOG090R00A6|Chlaenius_sericeus	21	19
EOG090R00A6|Chlaenius_sericeus	22	19
EOG090R00A6|Chlaenius_sericeus	23	19
EOG090R00A6|Chlaenius_sericeus	24	19
EOG090R00A6|Chlaenius_sericeus	25	19
EOG090R00A6|Chlaenius_sericeus	26	19
EOG090R00A6|Chlaenius_sericeus	27	19
EOG090R00A6|Chlaenius_sericeus	28	19
EOG090R00A6|Chlaenius_sericeus	29	19
EOG090R00A6|Chlaenius_sericeus	30	19
EOG090R00A6|Chlaenius_sericeus	31	19
EOG090R00A6|Chlaenius_sericeus	32	19
EOG090R00A6|Chlaenius_sericeus	33	19
EOG090R00A6|Chlaenius_sericeus	34	20
EOG090R00A6|Chlaenius_sericeus	35	21
EOG090R00A6|Chlaenius_sericeus	36	21
EOG090R00A6|Chlaenius_sericeus	37	21
EOG090R00A6|Chlaenius_sericeus	38	21
EOG090R00A6|Chlaenius_sericeus	39	22
EOG090R00A6|Chlaenius_sericeus	40	22
EOG090R00A6|Chlaenius_sericeus	41	22
EOG090R00A6|Chlaenius_sericeus	42	22
EOG090R00A6|Chlaenius_sericeus	43	22
EOG090R00A6|Chlaenius_sericeus	44	22
EOG090R00A6|Chlaenius_sericeus	45	22
EOG090R00A6|Chlaenius_sericeus	46	22
EOG090R00A6|Chlaenius_sericeus	47	22
EOG090R00A6|Chlaenius_sericeus	48	22
EOG090R00A6|Chlaenius_sericeus	49	22
EOG090R00A6|Chlaenius_sericeus	50	22
EOG090R00A6|Chlaenius_sericeus	51	22
EOG090R00A6|Chlaenius_sericeus	52	23
EOG090R00A6|Chlaenius_sericeus	53	23
EOG090R00A6|Chlaenius_sericeus	54	23
EOG090R00A6|Chlaenius_sericeus	55	23
EOG090R00A6|Chlaenius_sericeus	56	23
EOG090R00A6|Chlaenius_sericeus	57	23
EOG090R00A6|Chlaenius_sericeus	58	24
EOG090R00A6|Chlaenius_sericeus	59	24
EOG090R00A6|Chlaenius_sericeus	60	24
EOG090R00A6|Chlaenius_sericeus	61	24
EOG090R00A6|Chlaenius_sericeus	62	24
EOG090R00A6|Chlaenius_sericeus	63	24
EOG090R00A6|Chlaenius_sericeus	64	24
EOG090R00A6|Chlaenius_sericeus	65	24
EOG090R00A6|Chlaenius_sericeus	66	24
EOG090R00A6|Chlaenius_sericeus	67	24
EOG090R00A6|Chlaenius_sericeus	68	24
EOG090R00A6|Chlaenius_sericeus	69	24
EOG090R00A6|Chlaenius_sericeus	70	24
EOG090R00A6|Chlaenius_sericeus	71	24
EOG090R00A6|Chlaenius_sericeus	72	24
EOG090R00A6|Chlaenius_sericeus	73	25
EOG090R00A6|Chlaenius_sericeus	74	25
EOG090R00A6|Chlaenius_sericeus	75	25
EOG090R00A6|Chlaenius_sericeus	76	25
EOG090R00A6|Chlaenius_sericeus	77	25
EOG090R00A6|Chlaenius_sericeus	78	25
EOG090R00A6|Chlaenius_sericeus	79	25
EOG090R00A6|Chlaenius_sericeus	80	25
EOG090R00A6|Chlaenius_sericeus	81	26
EOG090R00A6|Chlaenius_sericeus	82	27
EOG090R00A6|Chlaenius_sericeus	83	27
EOG090R00A6|Chlaenius_sericeus	84	27
EOG090R00A6|Chlaenius_sericeus	85	27
EOG090R00A6|Chlaenius_sericeus	86	27
EOG090R00A6|Chlaenius_sericeus	87	27
EOG090R00A6|Chlaenius_sericeus	88	28
EOG090R00A6|Chlaenius_sericeus	89	29
EOG090R00A6|Chlaenius_sericeus	90	29
EOG090R00A6|Chlaenius_sericeus	91	29
EOG090R00A6|Chlaenius_sericeus	92	29
